feature_type,genome,feature_id,feature_name,num_barcodes,num_reads,num_umis,dup_frac,num_barcodes_cells,num_reads_cells,num_umis_cells,dup_frac_cells
Antibody Capture,,CD3,CD3_TotalC,61287,980507,558197,0.4307057471287813,926,779019,442711,0.43170705720913094
Antibody Capture,,CD19,CD19_TotalC,55943,363807,201385,0.44645100286690476,892,185189,99527,0.46256527115541424
Antibody Capture,,CD45RA,CD45RA_TotalC,93036,1550819,877053,0.4344581798391689,927,1108017,621928,0.43870175277094126
Antibody Capture,,CD4,CD4_TotalC,74644,1215597,683552,0.4376820607487515,926,947414,530853,0.4396821241822477
Antibody Capture,,CD8a,CD8a_TotalC,73997,770443,421677,0.4526824177778239,924,473849,254203,0.4635358521385504
Antibody Capture,,CD14,CD14_TotalC,61145,541503,309397,0.4286328976940109,866,352074,199734,0.43269312701307117
Antibody Capture,,CD16,CD16_TotalC,36213,195519,108545,0.44483656319846154,828,102875,56349,0.4522575941676792
Antibody Capture,,CD56,CD56_TotalC,50151,220248,120750,0.45175438596491224,918,71095,36240,0.4902595119206695
Antibody Capture,,CD25,CD25_TotalC,72899,441116,233975,0.46958396430870797,919,127632,56836,0.5546884793782123
Antibody Capture,,CD45RO,CD45RO_TotalC,56645,357001,203474,0.43004641443581393,914,177866,100631,0.4342313876738668
Antibody Capture,,PD-1,PD-1_TotalC,57565,257263,142713,0.4452641849002772,910,68365,35178,0.4854384553499598
Antibody Capture,,TIGIT,TIGIT_TotalC,48807,220553,116125,0.4734825642816013,880,72205,33670,0.5336888027144935
Antibody Capture,,IgG1,IgG1_TotalC,66825,365625,197944,0.4586147008547009,923,92128,42600,0.537599861062869
Antibody Capture,,IgG2a,IgG2a_TotalC,72094,455568,244342,0.4636541635935799,916,120889,54784,0.5468239459338733
Antibody Capture,,IgG2b,IgG2b_TotalC,29194,93310,52047,0.4422141249598114,787,24667,13042,0.4712774151700653
Antibody Capture,,CD127,CD127_TotalC,55955,343307,190275,0.44575846108585027,926,155994,84659,0.4572932292267652
Antibody Capture,,CD15,CD15_TotalC,89644,866034,490559,0.4335568811386158,926,218823,121231,0.4459860252350073
Antibody Capture,,CD197_(CCR7),CD197_TotalC,66587,318065,176304,0.44569820634147106,923,66167,33635,0.49166502939531787
Antibody Capture,,HLA-DR,HLA-DR_TotalC,78980,667934,373624,0.4406273673746208,922,289773,156446,0.46010842970187005
