Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000277117,FP565260.3,0.0,-3.254860474388094,0.009167243157483261,0.0,-1.599462070416271,0.5876758018712999,0.0,-1.4328268127223716,0.28140659915701954,0.0,-1.3570318958432779,0.9441561900801486,0.0,-1.0205613224823171,1.0,0.0,0.4214637684382767,1.0,0.8823529411764706,8.653442238603922,3.9189484826911446e-17
ENSG00000280071,GATD3B,0.0,-3.1617510699966127,0.009167243157483261,0.0,-1.5063526660247897,0.5876758018712999,0.0,-1.3397174083308903,0.2813222231264101,0.0,-1.2639224914517966,0.9441561900801486,0.2692307692307692,6.8863292731262025,1.0326773067047108e-11,0.0,0.514573172829758,1.0,0.0,0.7465516429954047,1.0
ENSG00000275464,FP565260.1,0.0,-3.9553001925291857,0.0001640394659815582,0.0,-2.299901788557363,0.2801434230381144,0.0,-2.1332665308634637,0.08249803016578452,0.0,-2.0574716139843705,0.3283093424849447,0.4807692307692308,7.679878395658776,1.9335384257037406e-19,0.0,-0.2789759497028159,1.0,0.0,-0.04699747953716926,1.0
ENSG00000280433,FP565260.6,0.0,-5.112841469515666,1.9691744975890724e-09,0.05405405405405406,-1.0324214776923775,0.5876758018712999,0.0,-3.290807807849944,0.0024110030681731916,0.828125,6.075927511432828,9.892722640076589e-29,0.0,-2.878542317609889,0.02828650410184836,0.0,-1.4365172266892956,1.0,0.0,-1.204538756523649,1.0
ENSG00000279094,LINC01670,0.0,-1.5767885692754557,0.4589918719306903,0.0,0.07860983469636729,1.0,0.05970149253731343,4.88910128216499,0.0015155719243700216,0.0,0.3210400092693595,1.0,0.0,0.6575105826303211,1.0,0.0,2.099535673550914,1.0,0.0,2.3315141437165607,1.0
ENSG00000274333,CU633967.1,0.0,-3.0622153964456977,0.011853626647347812,0.0,-1.4068169924738747,0.8036279707980842,0.19402985074626866,6.374528109335232,1.8846360849427707e-09,0.0,-1.1643868179008825,0.9441561900801486,0.0,-0.8279162445399209,1.0,0.0,0.6141088463806721,1.0,0.0,0.8460873165463187,1.0
ENSG00000279064,FP236315.1,0.0,-0.8398229751092501,0.6726871873688898,0.0,0.815575428862573,1.0,0.029850746268656716,4.1521356879987845,0.03661362752955929,0.0,1.058005603435566,1.0,0.0,1.3944761767965268,1.0,0.0,2.8365012677171197,1.0,0.0,3.0684797378827664,1.0
ENSG00000275993,SIK1B,0.0,-5.209056784774969,5.292486031039556e-10,0.8243243243243243,8.354734239970602,1.7259295417413745e-35,0.0,-3.387023123109247,0.0015155719243700216,0.0,-3.3112282062301532,0.009300397969507348,0.0,-2.974757632869192,0.026467872045830232,0.0,-1.5327325419485986,1.0,0.0,-1.3007540717829524,1.0
ENSG00000288187,CU633906.5,0.0,-0.8398229751092501,0.6726871873688898,0.0,0.815575428862573,1.0,0.029850746268656716,4.1521356879987845,0.03661362752955929,0.0,1.058005603435566,1.0,0.0,1.3944761767965268,1.0,0.0,2.8365012677171197,1.0,0.0,3.0684797378827664,1.0
ENSG00000275496,CU633906.1,0.0,-0.254860474388094,1.0,0.0,1.400537929583729,1.0,0.014925373134328358,3.5671731872776284,0.1623376623376586,0.0,1.6429681041567221,1.0,0.0,1.9794386775176829,1.0,0.0,3.4214637684382767,1.0,0.0,3.6534422386039234,1.0
ENSG00000275895,U2AF1L5,1.0,3.117108302998864,4.5347514454333155e-22,0.12162162162162163,-1.9213901653036338,0.002161656843026485,0.05970149253731343,-2.790378817340456,2.762767038339871e-05,0.140625,-1.6789599907306407,0.012477837000941381,0.1346153846153846,-1.6787728052341113,0.026467872045830232,0.1,-1.6870606883398924,1.0,0.11764705882352941,-1.4550822181742462,1.0
ENSG00000280145,CU638689.4,0.0,-2.254860474388094,0.1257581871236656,0.0,-0.599462070416271,1.0,0.1044776119402985,5.567173187277628,2.0052049204019786e-05,0.0,-0.3570318958432779,1.0,0.0,-0.020561322482317124,1.0,0.0,1.4214637684382767,1.0,0.0,1.6534422386039234,1.0
ENSG00000280164,CU638689.5,0.0,-2.254860474388094,0.1257581871236656,0.0,-0.599462070416271,1.0,0.1044776119402985,5.567173187277628,2.0052049204019786e-05,0.0,-0.3570318958432779,1.0,0.0,-0.020561322482317124,1.0,0.0,1.4214637684382767,1.0,0.0,1.6534422386039234,1.0
ENSG00000280018,CU634019.5,0.0,-1.5767885692754557,0.4589918719306903,0.0,0.07860983469636729,1.0,0.05970149253731343,4.88910128216499,0.0015155719243700216,0.0,0.3210400092693595,1.0,0.0,0.6575105826303211,1.0,0.0,2.099535673550914,1.0,0.0,2.3315141437165607,1.0
ENSG00000273590,SMIM11B,0.0,-3.576788569275456,0.0014952807324054027,0.0,-1.9213901653036327,0.44401595360582646,0.0,-1.7547549076097342,0.1623376623376586,0.015625,-0.604959409286864,1.0,0.0,-1.3424894173696789,0.9955530452200638,0.9,7.669391281881863,3.9002576929498946e-18,0.0,0.33151414371656074,1.0
ENSG00000277277,FAM243B,0.0,-1.254860474388094,0.4589918719306903,0.0,0.400537929583729,1.0,0.04477611940298507,4.567173187277628,0.0071540427022083065,0.0,0.6429681041567221,1.0,0.0,0.9794386775176829,1.0,0.0,2.4214637684382767,1.0,0.0,2.6534422386039234,1.0
ENSG00000278961,SMIM34B,0.0,-2.0622153964456977,0.20118929422512236,0.0,-0.4068169924738747,1.0,0.08955223880597014,5.374528109335232,7.223753383639938e-05,0.0,-0.1643868179008825,1.0,0.0,0.17208375546007915,1.0,0.0,1.614108846380672,1.0,0.0,1.8460873165463187,1.0
ENSG00000276289,KCNE1B,0.0,-2.254860474388094,0.1257581871236656,0.0,-0.599462070416271,1.0,0.0,-0.43282681272237156,0.6101167928686825,0.015625,0.8356131820991175,1.0,0.11538461538461539,4.7867935995752875,0.00016477957920161336,0.0,1.4214637684382767,1.0,0.0,1.6534422386039234,1.0
ENSG00000280800,FP671120.6,0.0,-1.254860474388094,0.4589918719306903,0.0,0.400537929583729,1.0,0.04477611940298507,4.567173187277628,0.0071540427022083065,0.0,0.6429681041567221,1.0,0.0,0.9794386775176829,1.0,0.0,2.4214637684382767,1.0,0.0,2.6534422386039234,1.0
ENSG00000280614,FP236383.4,0.0,-0.254860474388094,1.0,0.0,1.400537929583729,1.0,0.014925373134328358,3.5671731872776284,0.1623376623376586,0.0,1.6429681041567221,1.0,0.0,1.9794386775176829,1.0,0.0,3.4214637684382767,1.0,0.0,3.6534422386039234,1.0
ENSG00000160201,U2AF1,0.0,-0.8398229751092501,0.6726871873688898,0.0,0.815575428862573,1.0,0.029850746268656716,4.1521356879987845,0.03661362752955929,0.0,1.058005603435566,1.0,0.0,1.3944761767965268,1.0,0.0,2.8365012677171197,1.0,0.0,3.0684797378827664,1.0
ENSG00000241945,PWP2,0.0,-0.254860474388094,1.0,0.0,1.400537929583729,1.0,0.014925373134328358,3.5671731872776284,0.1623376623376586,0.0,1.6429681041567221,1.0,0.0,1.9794386775176829,1.0,0.0,3.4214637684382767,1.0,0.0,3.6534422386039234,1.0
ENSG00000160221,GATD3A,0.0,-1.83982297510925,0.33132322881052,0.0,-0.18442457113742705,1.0,0.07462686567164178,5.1521356879987845,0.0003670410275678524,0.0,0.058005603435566044,1.0,0.0,0.3944761767965268,1.0,0.0,1.8365012677171197,1.0,0.0,2.0684797378827664,1.0
ENSG00000225331,LINC01678,0.0,-0.254860474388094,1.0,0.0,1.400537929583729,1.0,0.014925373134328358,3.5671731872776284,0.1623376623376586,0.0,1.6429681041567221,1.0,0.0,1.9794386775176829,1.0,0.0,3.4214637684382767,1.0,0.0,3.6534422386039234,1.0
ENSG00000160223,ICOSLG,0.0,-0.254860474388094,1.0,0.0,1.400537929583729,1.0,0.014925373134328358,3.5671731872776284,0.1623376623376586,0.0,1.6429681041567221,1.0,0.0,1.9794386775176829,1.0,0.0,3.4214637684382767,1.0,0.0,3.6534422386039234,1.0
