Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000277117,FP565260.3,0.043478260869565216,2.5311560570253624,0.10046212763735035,0.0,-1.3826160215864665,0.9501917797068924,0.0,-1.2238960119268363,1.0
ENSG00000280071,GATD3B,0.04057971014492753,2.438046652633881,0.11979826811720803,0.0,-1.2895066171949852,0.9501917797068924,0.0,-1.130786607535354,1.0
ENSG00000275464,FP565260.1,0.07246376811594203,3.2315957751664546,0.010108357118178861,0.0,-2.0830557397275586,0.4368894436058786,0.0,-1.924335730067928,0.508587771508077
ENSG00000280433,FP565260.6,0.0,-7.32682493810221,7.716612124433469e-26,0.8769230769230769,8.475364973541106,1.8285644019578837e-35,0.0,-3.0818770070544077,0.027410136784218726
ENSG00000279094,LINC01670,0.011594202898550725,0.853084151912725,0.9147416774036348,0.0,0.2954558835261718,1.0,0.0,0.454175893185802,1.0
ENSG00000274333,CU633967.1,0.03768115942028986,2.338510979082966,0.11979826811720803,0.0,-1.1899709436440702,0.9501917797068924,0.0,-1.03125093398444,1.0
ENSG00000279064,FP236315.1,0.005797101449275362,0.11611855774651847,1.0,0.0,1.0324214776923775,1.0,0.0,1.1911414873520076,1.0
ENSG00000275993,SIK1B,0.0,-7.423040253361513,5.2077981369330626e-27,0.06153846153846154,-0.9186689218266761,0.9501917797068924,0.9661016949152542,6.312156888313374,1.0829696629939217e-31
ENSG00000288187,CU633906.5,0.005797101449275362,0.11611855774651847,1.0,0.0,1.0324214776923775,1.0,0.0,1.1911414873520076,1.0
ENSG00000275496,CU633906.1,0.002898550724637681,-0.4688439429746376,1.0,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000275895,U2AF1L5,0.591304347826087,3.8887080616434457,4.558408151718512e-13,0.03076923076923077,-3.4911404783646356,3.926777382828301e-06,0.03389830508474576,-3.332420468705005,2.2546858666401366e-05
ENSG00000280145,CU638689.4,0.020289855072463767,1.5311560570253624,0.5265970227791179,0.0,-0.38261602158646646,1.0,0.0,-0.22389601192683628,1.0
ENSG00000280164,CU638689.5,0.020289855072463767,1.5311560570253624,0.5265970227791179,0.0,-0.38261602158646646,1.0,0.0,-0.22389601192683628,1.0
ENSG00000280018,CU634019.5,0.011594202898550725,0.853084151912725,0.9147416774036348,0.0,0.2954558835261718,1.0,0.0,0.454175893185802,1.0
ENSG00000273590,SMIM11B,0.05217391304347826,1.7790835704689476,0.14035528080603205,0.015384615384615385,-0.6305435350300517,1.0,0.0,-1.545824106814198,0.8844381278545037
ENSG00000277277,FAM243B,0.008695652173913044,0.5311560570253624,0.9147416774036348,0.0,0.6173839784135335,1.0,0.0,0.7761039880731637,1.0
ENSG00000278961,SMIM34B,0.017391304347826087,1.3385109790829661,0.7505496782904146,0.0,-0.1899709436440702,1.0,0.0,-0.03125093398444001,1.0
ENSG00000276289,KCNE1B,0.017391304347826087,0.3385109790829661,1.0,0.015384615384615385,0.8100290563559298,1.0,0.0,-0.22389601192683628,1.0
ENSG00000280800,FP671120.6,0.008695652173913044,0.5311560570253624,0.9147416774036348,0.0,0.6173839784135335,1.0,0.0,0.7761039880731637,1.0
ENSG00000280614,FP236383.4,0.002898550724637681,-0.4688439429746376,1.0,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000160201,U2AF1,0.005797101449275362,0.11611855774651847,1.0,0.0,1.0324214776923775,1.0,0.0,1.1911414873520076,1.0
ENSG00000241945,PWP2,0.002898550724637681,-0.4688439429746376,1.0,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000160221,GATD3A,0.014492753623188406,1.1161185577465185,0.7505496782904146,0.0,0.032421477692377465,1.0,0.0,0.19114148735200764,1.0
ENSG00000225331,LINC01678,0.002898550724637681,-0.4688439429746376,1.0,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000160223,ICOSLG,0.002898550724637681,-0.4688439429746376,1.0,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
