PC,ENSG00000277117,ENSG00000280071,ENSG00000275464,ENSG00000280433,ENSG00000279094,ENSG00000274333,ENSG00000279064,ENSG00000275993,ENSG00000288187,ENSG00000275496,ENSG00000275895,ENSG00000280145,ENSG00000280164,ENSG00000280018,ENSG00000273590,ENSG00000277277,ENSG00000278961,ENSG00000276289,ENSG00000280800,ENSG00000280614,ENSG00000160201,ENSG00000241945,ENSG00000160221,ENSG00000225331,ENSG00000160223
1,0.11721366110152029,0.1251003243170851,0.14871793544275574,0.32031898413858506,0.0566019968329033,0.10287630010749538,0.039563213619204854,0.32883340168706054,0.039563213619204285,0.027815904373690997,-0.8120279096587625,0.07621473461266004,0.05305897309475693,0.05660199683290318,0.14330837790598874,0.04873488603738032,0.07014268475246647,0.09964981190170273,0.04873488603738019,0.027815904373691504,0.03956321361920569,0.027815904373691067,0.06365450414267619,0.02781590437369152,0.027815904373690428
2,-0.07048991444407893,-0.18654898644752482,-0.16904009684011906,-0.3866684998693048,-0.0277025652466754,-0.05803371622205333,-0.01878429944729717,0.8422342128789679,-0.018784299447296364,-0.013016143191364245,0.03848778525141569,-0.03917744932518088,-0.03380721442809276,-0.027702565246675054,-0.14995041596994985,-0.023487682564441132,-0.035453464109379544,-0.18965829716031404,-0.023487682564441514,-0.013016143191365421,-0.01878429944729803,-0.013016143191364401,-0.03165235593885613,-0.013016143191365322,-0.013016143191363197
3,-0.18475056771212722,-0.30809176181171155,-0.43922659392417496,0.7528945532970257,-0.06931446560552713,-0.14973570709682993,-0.046723126077698504,0.10217843961772077,-0.046723126077697304,-0.0322866041791027,0.08374325325515827,-0.09901286756975715,-0.08536476678137131,-0.06931446560552905,-0.09158912565947558,-0.058590918777116294,-0.08928736924727396,-0.057468556469714535,-0.0585909187771161,-0.03228660417910275,-0.046723126077700836,-0.03228660417910277,-0.07944904594090937,-0.03228660417910302,-0.032286604179102674
4,-0.30898033421144283,0.5296803533548446,0.22548968629057303,0.09021753496879785,-0.07675378596959094,-0.21309121650493795,-0.04965620012794633,0.13931203393219863,-0.0496562001279503,-0.03368428741188427,0.04473885863303227,-0.11809921802252045,-0.10227342349091478,-0.07675378596959315,-0.4877760993909234,-0.06351470330350104,-0.10368774757514065,0.4290230783683968,-0.06351470330350423,-0.033684287411891056,-0.0496562001279387,-0.03368428741188437,-0.09001196478280858,-0.03368428741189031,-0.03368428741187718
5,-0.18219167828290814,-0.35458665521778654,0.7691488068015663,0.1578130937536619,-0.02573488539256849,-0.09414197552865212,-0.016101688080481465,-0.009264650294329397,-0.01610168808047638,-0.010767681013530211,0.003091878266087006,-0.04236049639388427,-0.0399224655003158,-0.02573488539256137,-0.16443674821330137,-0.020923921324131886,-0.036259019599374054,-0.4235255638924408,-0.02092392132412639,-0.010767681013525696,-0.01610168808048984,-0.010767681013529535,-0.03078238811581856,-0.01076768101352632,-0.010767681013535896
6,0.5918935577197899,-0.10550345045950546,-0.06566760927453177,0.07110499735622598,0.04309813911424572,0.19778149852740828,0.02641066663555688,-0.06531161231755905,0.026410666635555198,0.017511370991577638,-0.016251085735404958,0.07424965381917578,0.06313965358692215,0.043098139114246356,-0.7465374813219874,0.03465460393113075,0.06243577678292449,-0.04827455645622021,0.03465460393113173,0.01751137099157994,0.02641066663555848,0.01751137099157746,0.052216541726649024,0.01751137099157933,0.017511370991575227
7,-0.5834565947438056,-0.04117164447508774,-0.08734881041697991,-0.007696201488525928,0.05821892188795345,0.7458828026259371,0.033916899779050866,-0.03972444152343148,0.03391689977905138,0.022047921217846097,-0.015273813701686567,0.11366996402915827,0.09617524746835708,0.05821892188795137,-0.19811134651308754,0.04554565866973451,0.09080068764796,-0.015912765388175116,0.045545658669724945,0.022047921217855634,0.03391689977904522,0.022047921217847315,0.07290972434677442,0.022047921217854843,0.022047921217838523
8,0.2728398073864079,0.04984725067288728,0.102360056068415,0.02528638263711888,-0.15556031783062668,0.5132579718865067,-0.0798865450732439,0.05211318609634159,-0.07988654507324386,-0.049707662960956994,0.02672526484923319,-0.47701600184564485,-0.37775343130142597,-0.15556031783064417,0.1689911902035634,-0.11333561551944801,-0.30661694218113666,0.026257223250549466,-0.11333561551946168,-0.04970766296095203,-0.0798865450732435,-0.04970766296095723,-0.2144803428909355,-0.04970766296095051,-0.04970766296096514
9,0.016932688794662865,0.004390677553599366,0.005870143271417721,0.001579627639306214,-0.02512997885923353,0.024078736673987355,-0.010489946255815397,0.003756252417170056,-0.010489946255811955,-0.006159993459116546,0.013003150605288921,0.7094428307576198,-0.6934979231133145,-0.02512997885918926,0.012161986674001542,-0.016152319711956756,-0.10161450460871133,0.0031023384134318322,-0.01615231971200201,-0.006159993459138438,-0.010489946255817006,-0.006159993459115248,-0.043102885957334025,-0.006159993459139729,-0.006159993459144426
10,0.04162273478755673,0.009664824511760657,0.022049894568795303,0.007316951243997623,-0.08194869114963789,0.05705002655444469,-0.031118722879504887,0.011691775247849097,-0.03111872287951,-0.01787938142657379,-0.0034038887807495283,0.36074052497935166,0.5030884571918495,-0.08194869114969847,0.029219752072601635,-0.04957568195053147,-0.7491316574092297,0.005513000468949834,-0.04957568195046815,-0.017879381426543814,-0.031118722879496602,-0.01787938142657311,-0.1614531076404859,-0.01787938142654806,-0.017879381426610275
