PC,ENSG00000278932,ENSG00000274391,ENSG00000277282,ENSG00000224905,ENSG00000185272,ENSG00000155304,ENSG00000155307,ENSG00000226751,ENSG00000281903,ENSG00000180530,ENSG00000155313,ENSG00000154639,ENSG00000154640,ENSG00000280594,ENSG00000154642,ENSG00000244676,ENSG00000154645,ENSG00000237484,ENSG00000222042,ENSG00000185433,ENSG00000234883,ENSG00000154719,ENSG00000154721,ENSG00000154723,ENSG00000154727,ENSG00000142192,ENSG00000166265,ENSG00000232855,ENSG00000156239,ENSG00000198862,ENSG00000156253,ENSG00000273254,ENSG00000156256,ENSG00000156261,ENSG00000156265,ENSG00000156273,ENSG00000273017,ENSG00000156299,ENSG00000237594,ENSG00000234509,ENSG00000142168,ENSG00000273271,ENSG00000156304,ENSG00000142149,ENSG00000159055,ENSG00000142207,ENSG00000256073,ENSG00000166979,ENSG00000159079,ENSG00000159082,ENSG00000238197,ENSG00000159086,ENSG00000205930,ENSG00000184221,ENSG00000159110,ENSG00000223799,ENSG00000243646,ENSG00000142166,ENSG00000159128,ENSG00000142188,ENSG00000177692,ENSG00000159131,ENSG00000159140,ENSG00000159147,ENSG00000205758,ENSG00000205726,ENSG00000241837,ENSG00000237945,ENSG00000273102,ENSG00000243927,ENSG00000198743
1,0.01692546160955106,-0.25413837945301465,0,-0.1699312000582659,0.1916897494443765,0.0514757790061079,0.001946930120560171,0,0,-0.16950297611194337,-0.07943494271033269,0,0.04779555725510134,0.08300378646218036,0.011096400201341491,0,0,0.15632777124001554,0,-0.07098554107709741,-0.09527736052116274,-0.09950757063496497,0,0.06865507261996816,-0.01670318623863546,-0.0037931670563126603,0,0.09069903283094716,-0.03225823893680751,0.07804002524377308,0.02286197765950772,-0.0685107552634663,-0.08694716448066137,-0.07024951779646621,-0.0677774897855307,-0.16631545922257587,0,0.3431026413825126,0,0,0.3373280149992844,0,-0.23461017111228713,0,0.006666092514005919,-0.06281792784673951,-0.08943265165733141,0.14436546243761275,-0.10608023864959602,0.05688138422685196,0.018468077226664513,-0.006457380153353786,0.08776170065718907,0,-0.04886769754260069,-0.15709096653014593,-0.13459910729341962,-0.15966101380978737,-0.3748193152925242,0.11533416915355829,0,0.07012246930640681,-0.18883987035561356,0.0038484620925828784,-0.029399958895121148,0.038895707009468275,0.1579207473835233,0.20777699278969183,0,0.008046942479179538,0.161745490247159
2,0.12930451025496215,-0.4058202911954168,0,-0.40406068070292706,-0.029782077892098486,0.01865415098681988,-0.23970675514998863,0,0,-0.08515141665457569,-0.0570139700781212,0,0.041135411637794043,0.00665333647383143,-0.21015780093083303,0,0,-0.003378025018061599,0,-0.05864488252469387,-0.07043236171669186,-0.13033790737301795,0,-0.026533256045193913,0.042983673643619984,0.005656883131023061,0,-0.1578227977015758,-0.3830796624575076,0.0217366993463813,0.008526593743926392,0.030398431958875784,0.12859147546445485,0.08608711602719682,0.0330441720628714,0.09598076529189686,0,-0.11263027028540343,0,0,0.0021730868841310647,0,0.24642842215022212,0,-0.046317965592158124,0.03134398675900926,0.027442077857000327,-0.22754660410981736,0.1355699194970117,0.06648635890763063,0.12395306476145296,0.049007045089705374,0.0861959747681048,0,0.08057934382566818,0.0810888781045446,0.033986804317249764,0.11207453015631758,0.09346698036619296,0.15465397212848397,0,-0.06250149336142428,-0.14461647600127003,0.012484132700926453,-0.0006334721234494825,0.10277123868033755,0.11495944626912331,-0.10916315686514276,0,-0.08665439507870315,-0.01329106783839373
3,-0.038016431030248675,0.07213344216753657,0,0.00429705913050129,-0.09819572610344349,-0.05448291934556045,-0.12950361077833344,0,0,0.030112098602919135,0.061054680840272456,0,0.09767115539656271,0.023108703913750393,-0.13497897827308208,0,0,0.18619087367896067,0,0.13597287299293684,0.0420736127954843,-0.14779238724256102,0,-0.26750853322301954,0.11011863390523091,0.2697288649400309,0,-0.150719330652819,0.03287109379056275,0.2544859834557945,-0.04893340301566777,-0.0502763772163457,-0.025016251684493566,-0.1691768965270137,0.026372735394622586,0.03466581256452209,0,-0.024698564280490987,0,0,0.05806056606312657,0,-0.17332950246809914,0,0.03812253404360632,-0.15499032195345236,-0.1043055720913807,-0.17280715554515905,-0.30990820407308717,-0.1447974535754907,-0.013814889330898084,0.061762340521218664,-0.07118282573150045,0,0.14814770655562015,0.08629853202121435,0.12973153222750955,0.1118417400960047,0.06663152040815418,0.0096963973927554,0,0.14386407859669728,0.13485107277466013,-0.24396384270262558,0.28953618010576604,0.16443479540547362,-0.006613954923594636,0.09942174612520215,0,-0.07735827966984761,0.2416914726318791
4,0.0037718786680743395,0.14265551739454152,0,0.10133837886711183,0.1470666616607207,0.08719320575477937,-0.0051301036838702786,0,0,-0.05872481297621566,0.06395024903555195,0,0.19636731315184536,-0.115354132552981,-0.17134918059332155,0,0,-0.034061778731985536,0,-0.05045748827414987,0.0030594075266636924,-0.06893002620792761,0,0.15776674959702594,0.08362974468910021,-0.0059317010271070034,0,0.11677941119106085,0.16110949312185785,0.19255216543664722,0.034243605454330125,0.05734901655724854,0.3610914864529958,0.053529806545702954,0.08914338367338119,-0.1509584940754404,0,0.11302522064585858,0,0,0.0973236155501502,0,-0.01202500457387155,0,-0.1711631245165321,-0.005462336611563586,-0.06592851292406654,0.027289162512514377,-0.025785288081435136,0.21101289709842744,0.38075622751644483,-0.13073206936854684,-0.05894833699959173,0,-0.059278339882622925,0.20148678271241957,-0.11205268468826465,0.07963401722916187,0.1444124062608865,-0.023593611572340342,0,0.07637138787794505,-0.2636099675231982,-0.10144208372663335,0.02603604059153592,0.060449267241861775,-0.266250301130936,-0.2015730001912168,0,0.08451561428171783,0.07257283756926156
5,0.13913779350326494,0.2754455783179693,0,0.35550872433154257,0.0012363842136220039,-0.13833429902879874,-0.24863610822056675,0,0,-0.25979669665702565,-0.021854586451429205,0,0.06460714692977752,0.03689761068266145,-0.014087642456421532,0,0,0.02610708217301668,0,-0.0029447307142006158,-0.06118885684949835,-0.17773937626923736,0,-0.10203705027644965,-0.060595942742651863,0.03568866280465291,0,-0.12162539722943612,0.1890309163808504,-0.007485937727183571,-0.07111456866319973,-0.14047256699509145,-0.041112259581791086,-0.025170288040371153,0.03339741023865947,0.17221936472662414,0,0.09786213108702167,0,0,0.038701188641557825,0,0.17682689380954597,0,-0.17289878723188742,0.002374496259691755,0.09735710353622336,-0.08349047483818027,0.1395896300657271,0.22164688164081237,-0.09343885950503998,0.01487832874201944,0.09916007634297709,0,-0.05924759675019056,-0.17977997103145826,-0.04408327292064375,0.028509239036542202,-0.0829647047024395,0.28509209915884476,0,0.08544679616178337,-0.020296015222419115,0.1530952133544314,-0.06380573740051661,0.07086566020090597,0.12095462408097157,-0.11253914270987399,0,-0.3043893178682683,0.02895952756104185
6,0.15884854108961216,-0.03857636100694504,0,-0.11672218631331711,-0.08404962920577133,-0.27551537473626464,-0.044756438575020416,0,0,-0.10451093101016908,0.2561440049437611,0,0.2706624916463829,-0.03818049362975558,-0.048646742023192406,0,0,-0.011253753566242657,0,-0.033209127010600144,-0.14921210746028,0.05246572948935381,0,-0.05060079936041758,-0.06841264943000974,-0.09494099699210176,0,0.30978566079716985,-0.10373267319589781,0.043270078514084785,0.0706088380864489,-0.1807255247962023,0.08388875797072887,-0.23567147614461062,-0.05431294608532316,-0.022090620453816195,0,-0.13703826307905997,0,0,-0.02122646917475276,0,0.09026675056241187,0,0.03564583838394042,0.006417779787279156,-0.25627469173388373,0.2535704127814871,0.061403580793626615,0.06238506775052967,-0.02424711323592202,0.0282494676020906,-0.05458452512178942,0,0.16439978367694574,-0.04519034218451479,-0.15786610593041556,0.18932497536564336,-0.14953290364299554,0.0034614721757791436,0,0.11747711341215095,0.32844856910938647,-0.08467215603956255,-0.07471885067025379,-0.09176248085199862,-0.1394095957716563,-0.01837696650815833,0,-0.04671389941148926,-0.13635671172190603
7,0.08569530818743058,-0.030451030516738295,0,-0.10767307020637241,0.07916959711327586,-0.01865600888304567,0.028515466451124946,0,0,0.04914458751571735,0.22239503229898078,0,-0.0314567462052655,-0.017552615893542126,0.20975670304670518,0,0,-0.12734089921426778,0,-0.1414123348479585,0.22054497276394106,0.1373574133489996,0,-0.1286000820638928,0.07118485796195344,-0.01248005379976964,0,0.20679518490509585,-0.09448847708659018,0.291645969757076,-0.2820786081544766,0.08123471194828358,-0.11002170437260331,-0.08852394306700806,-0.16989641739746525,0.2294801988407597,0,0.10616337409112436,0,0,-0.21027727614209504,0,-0.20389927888442122,0,-0.25045018848637873,0.004098439496446949,-0.02005680298973184,0.11140868779820001,0.05227661867893749,0.04231941410915568,0.008768301714733725,0.0378342266103724,0.05311228220057164,0,-0.24041504167315253,0.0865791888041645,0.03277071042491469,-0.06295839305035018,0.098477294623366,0.2253627350518306,0,0.020548167783871505,-0.009953263897879183,-0.06523647618029924,0.08081320119207537,0.1735974403990275,0.1944092912670376,-0.15833277918204955,0,0.06244294676227709,-0.07192236974231334
8,-0.001742780115320897,-0.03647224211566035,0,0.01595819533069761,-0.15914616192060038,-0.21097175384559178,-0.02985899931696867,0,0,0.032250063813311046,-0.1705145412421907,0,-0.08993376863494176,-0.09804323303418674,0.21223469205767134,0,0,0.2778996883269042,0,-0.20193498072666177,0.25121883336976397,-0.004323569183643212,0,0.049691533735327045,-0.007341061951712296,-0.16403635353055435,0,-0.26004041115268367,0.01392550846140713,0.1431931010499559,-0.018406042244888555,0.06330764472684865,0.008677751901096445,0.1879764293133942,-0.186226812579765,-0.15988390553868215,0,-0.08117551523884778,0,0,-0.22888932344580615,0,-0.008308886932045033,0,0.023701341040380953,-0.03633394480320813,-0.151738498611255,-0.106129549610069,0.07370217980951455,0.22598977490048758,0.07973478990859176,-0.009728299096846442,-0.07084104707820964,0,-0.0016947606127721679,-0.01202736068694484,-0.2524465395811445,0.13426977229603748,-0.037757121119562656,0.17118925195405682,0,0.1489315255225738,0.07319283868040327,0.09422451939519988,0.05001595724688923,-0.07100748532545743,-0.12609290444865612,0.24230130221625024,0,0.16198404639086378,0.12369730901169557
9,-0.12036899461068798,-0.07650975014255493,0,-0.046000803278816095,-0.15536926724181868,0.07782539927715233,0.04957141878736159,0,0,0.03278543456012914,-0.1964541926732163,0,-0.05179223484725418,-0.02224267792614583,-0.11970898459869082,0,0,-0.08563768307332635,0,0.15374479510947922,0.09190058749286374,0.05454302032436876,0,0.4799516654129148,-0.01962559312648907,0.10608882276644212,0,-0.000155624818668227,0.03293814366360973,0.17115334268200272,0.19717340659720908,-0.05258474296446756,-0.018433239423585393,-0.09337073663061043,0.07051550832865626,0.06395816058253707,0,-0.09668530978298752,0,0,-0.2159521066055151,0,-0.16969083743176716,0,0.029837558282581035,0.053188043744648694,0.0405618276237032,0.015071388602189985,0.026941811194971754,0.18477120419452642,-0.10638569546712007,-0.18706087473281113,0.0533456754983732,0,0.17628968509671072,-0.19808742700384233,0.1088054344196884,-0.1648391181905124,-0.12118804876059398,0.22852038482985218,0,0.18397758341756104,0.0833489469151413,-0.18107012592674465,0.01643909156188923,0.19772002237960812,-0.06273233296423039,-0.16802570696812053,0,-0.08485759613287347,-0.10120921809573516
10,0.15844880156424224,-0.015527225601401873,0,-0.11494257195549802,-0.10386087670201065,-0.05194507789502654,-0.05511701056246463,0,0,0.10310916280380394,0.04092044438479246,0,-0.22006860687927107,-0.11439123191381526,-0.17195066795163835,0,0,0.27216159360488146,0,-0.04462751068112786,0.0399079868322661,0.2470717233424058,0,0.05877762932981473,-0.1707751687460344,0.02000593252031149,0,0.14740041074936094,0.10499005438364188,-0.02981616863902848,-0.0171495794954507,0.12455722817353905,-0.030867428365151654,-0.07750749195812438,0.1558083715055871,0.08038089253445661,0,-0.08249445628352008,0,0,0.18288760675946047,0,0.0872531696283892,0,0.056968342089838094,0.13216116820383095,-0.01261310228895203,0.22419978324257214,0.026445877576608285,0.06148923379254577,-0.29990815142709315,-0.1492583407344685,-0.13229470695419335,0,-0.17131055577178145,-0.050898179257493084,-0.05332107492292301,0.10639083933496346,0.3027076304354503,0.07389500985500062,0,0.02881784773928578,-0.25876597295831244,-0.11427569640312647,0.04681218566593252,-0.02580058025794463,-0.0038964158061575785,0.1198661319870983,0,-0.19169940877633476,0.22677284304193077
